omega,weighting
7.071158617263031e-4,Equally weighted
6.290694648285687e-4,Equally weighted
6.582669666344331e-4,Equally weighted
5.837516988871837e-4,Equally weighted
6.067207075568426e-4,Equally weighted
5.380537467854022e-4,Equally weighted
5.713427552724075e-4,Equally weighted
5.707620060545523e-4,Equally weighted
6.522143166128207e-4,Equally weighted
6.510267314066447e-4,Equally weighted
6.133858709323995e-4,Equally weighted
7.233229277365714e-4,Equally weighted
6.114289004012107e-4,Equally weighted
6.234000101438153e-4,Equally weighted
6.134480004833784e-4,Equally weighted
6.979317082001651e-4,Equally weighted
8.218565383875202e-4,Equally weighted
6.134782855569913e-4,Equally weighted
5.401336504371698e-4,Equally weighted
6.248914635416908e-4,Equally weighted
6.06931172087267e-4,Equally weighted
6.133562542439093e-4,Equally weighted
6.134609574822848e-4,Equally weighted
8.041593210300031e-4,Equally weighted
6.135057264367762e-4,Equally weighted
6.203886835950141e-4,Equally weighted
5.042401133590711e-4,Equally weighted
7.310448951490879e-4,Equally weighted
6.41033472353461e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.703110709572403e-4,Equally weighted
6.201246841765518e-4,Equally weighted
6.67198560140318e-4,Equally weighted
5.721289678216523e-4,Equally weighted
5.04786523595716e-4,Equally weighted
5.250734201194629e-4,Equally weighted
5.51247439132605e-4,Equally weighted
5.769905654309697e-4,Equally weighted
9.326075021382252e-4,Equally weighted
6.720406742426622e-4,Equally weighted
6.117476495805703e-4,Equally weighted
6.187919320786606e-4,Equally weighted
6.134211860400177e-4,Equally weighted
7.473683146525671e-4,Equally weighted
7.934322725579205e-4,Equally weighted
5.852284191776558e-4,Equally weighted
5.718931216996052e-4,Equally weighted
5.734946254478987e-4,Equally weighted
6.962284254153015e-4,Equally weighted
5.141301642307651e-4,Equally weighted
6.134784723804361e-4,Equally weighted
5.399073359819807e-4,Equally weighted
6.135016776930249e-4,Equally weighted
6.134786592036455e-4,Equally weighted
6.539077545828904e-4,Equally weighted
6.120918269882528e-4,Equally weighted
5.850865379992594e-4,Equally weighted
5.832599555298996e-4,Equally weighted
6.27148669585766e-4,Equally weighted
6.376027417942272e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.567727470923527e-4,Equally weighted
6.223611201081578e-4,Equally weighted
6.708783340970176e-4,Equally weighted
5.740472371187617e-4,Equally weighted
5.781488456011952e-4,Equally weighted
6.854625638780532e-4,Equally weighted
5.916820625281891e-4,Equally weighted
5.047239639019545e-4,Equally weighted
5.760395377119126e-4,Equally weighted
6.620473855648305e-4,Equally weighted
4.96918075335144e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.375619145498022e-4,Equally weighted
5.500604525192599e-4,Equally weighted
6.260251236640916e-4,Equally weighted
7.122079218142833e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.683544461061084e-4,Equally weighted
5.889833861091633e-4,Equally weighted
6.181299117193732e-4,Equally weighted
5.130669480087248e-4,Equally weighted
5.821372174598968e-4,Equally weighted
6.0363548701566e-4,Equally weighted
6.449831030804383e-4,Equally weighted
6.053180816062573e-4,Equally weighted
6.339889637618972e-4,Equally weighted
6.344884327599463e-4,Equally weighted
6.079599758607793e-4,Equally weighted
6.107005591569455e-4,Equally weighted
6.088740796347163e-4,Equally weighted
6.016297356586464e-4,Equally weighted
6.099661949760977e-4,Equally weighted
6.086960009481564e-4,Equally weighted
5.858900911945732e-4,Equally weighted
5.978555702055613e-4,Equally weighted
6.222821163094699e-4,Equally weighted
5.868275030788237e-4,Equally weighted
5.394962557273232e-4,Equally weighted
5.419531637754307e-4,Equally weighted
5.8316106310692e-4,Equally weighted
6.438881605077672e-4,Equally weighted
5.150265073720991e-4,Equally weighted
6.017910093541484e-4,Equally weighted
6.175023351913429e-4,Equally weighted
0.00062511521309132755,Equally weighted
