omega,weighting
6.345787841912577e-4,Equally weighted
5.481673165543053e-4,Equally weighted
5.359159631939937e-4,Equally weighted
5.266082595161175e-4,Equally weighted
8.722972964584753e-4,Equally weighted
5.540001326031678e-4,Equally weighted
6.538124633029455e-4,Equally weighted
5.475223732751085e-4,Equally weighted
7.561773515509451e-4,Equally weighted
6.891807246841097e-4,Equally weighted
7.152279945206743e-4,Equally weighted
5.934359323081782e-4,Equally weighted
6.004148814021456e-4,Equally weighted
5.901644755123639e-4,Equally weighted
7.432572279048459e-4,Equally weighted
6.122413844126664e-4,Equally weighted
6.16674108200346e-4,Equally weighted
6.107499874743299e-4,Equally weighted
6.186252020344293e-4,Equally weighted
6.61562103370478e-4,Equally weighted
6.116608869277908e-4,Equally weighted
5.813584241558455e-4,Equally weighted
6.015931625502098e-4,Equally weighted
6.109622634987847e-4,Equally weighted
5.256806051369134e-4,Equally weighted
6.165916411948679e-4,Equally weighted
6.534649672877256e-4,Equally weighted
5.743272632453957e-4,Equally weighted
6.526868402599433e-4,Equally weighted
5.674177394334149e-4,Equally weighted
5.397923294577354e-4,Equally weighted
5.785782821391695e-4,Equally weighted
6.093107649989661e-4,Equally weighted
6.033676610476154e-4,Equally weighted
5.911493071720043e-4,Equally weighted
6.702775831061377e-4,Equally weighted
6.860659376665826e-4,Equally weighted
6.47996560251306e-4,Equally weighted
6.386892268739546e-4,Equally weighted
6.546164473014395e-4,Equally weighted
6.167035211771633e-4,Equally weighted
6.50143701150654e-4,Equally weighted
5.95580348106412e-4,Equally weighted
6.873838170148447e-4,Equally weighted
7.021804075698522e-4,Equally weighted
5.764484513244459e-4,Equally weighted
5.410807904906308e-4,Equally weighted
6.055131235766084e-4,Equally weighted
5.555344431480337e-4,Equally weighted
6.111337382540335e-4,Equally weighted
6.102552617121694e-4,Equally weighted
6.506462625559751e-4,Equally weighted
6.223048056498482e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.403601294667013e-4,Equally weighted
5.548307617639894e-4,Equally weighted
5.502509339267081e-4,Equally weighted
5.400041253990452e-4,Equally weighted
6.64294100163739e-4,Equally weighted
6.615521577620497e-4,Equally weighted
6.152976144984459e-4,Equally weighted
5.991813728503335e-4,Equally weighted
6.396881807302243e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.802571684283463e-4,Equally weighted
5.265409695984579e-4,Equally weighted
5.872797248441895e-4,Equally weighted
5.951388976490833e-4,Equally weighted
6.882283974942047e-4,Equally weighted
5.719699295852311e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.476742135333522e-4,Equally weighted
6.315590514575349e-4,Equally weighted
6.982597333072243e-4,Equally weighted
6.049840839056108e-4,Equally weighted
6.207451096099673e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.723252002687008e-4,Equally weighted
6.442723785934529e-4,Equally weighted
6.607785028851063e-4,Equally weighted
6.278771536026423e-4,Equally weighted
6.288922631444799e-4,Equally weighted
6.529323193586709e-4,Equally weighted
6.004486896558335e-4,Equally weighted
6.227952515664318e-4,Equally weighted
5.109719643875209e-4,Equally weighted
5.916614117443197e-4,Equally weighted
7.119290931676978e-4,Equally weighted
6.160091144037542e-4,Equally weighted
5.538641861740332e-4,Equally weighted
